Year,First Name,Last Name
1991,Charles,Barkley
1992,Karl,Malone
2001,Shaquille,O'Neal
2002,Shaquille,O'Neal
2006,LeBron,James
2012,Kevin,Durant
2013,Kevin,Durant
2015,James,Harden
2021,Joel,Embiid
